method,feedback_budget,judge_flip_prob,runs,success_mean,success_sd,feedback_mean,train_mean,test_mean
adaptive_fwb,2,0.000,3,0.5667,0.0094,1.4667,0.0733,2.3400
adaptive_fwb,4,0.000,3,0.5733,0.0249,2.3267,1.0733,6.8333
frontier_auc:
  adaptive_fwb: 1.1400
